Polymer Number,Reaction number,Polymer solubility in dichloro methane at a concentration of 40 mg/mL at room temperature,Physical state of the polymer determined by visual observation and polarized microscope analysis,Degradable,Monomer 1,Monomer 1 SMILES,Monomer 2,Monomer 2 SMILES,SMILES,Mn (kDa),Mw (kDa),D,"Monomer 1:
Monomer 2 (mole basis)",BigSMILES,Method Key
135,135,yes,fluid,no,Azelaoyl chloride,[Cl]C(=O)CCCCCCCC(=O)[Cl],Bisphenol A,Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,C(=O)CCCCCCCC(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,1.29,1.92,1.49,1:01,"{[][<]C(=O)CCCCCCCC(=O)[<],[>]Oc1ccc(cc
1)C(C)(C)c2ccc(cc2)O[>][]}",M32
136,136,no,solid,no,Azelaoyl chloride,[Cl]C(=O)CCCCCCCC(=O)[Cl],"4,4'-
Dihydroxydiphenylmethane",Oc1ccc(cc1)Cc2ccc(cc2)O,C(=O)CCCCCCCC(=O)Oc1ccc(cc1)Cc2ccc(cc2)O,,,,1:01,"{[][<]C(=O)CCCCCCCC(=O)[<],[>]Oc1ccc(cc 1)Cc2ccc(cc2)O[>][]}",M32
137,137,no,solid,yes,Azelaoyl chloride,[Cl]C(=O)CCCCCCCC(=O)[Cl],"4,4_-Thiodiphenol",Oc1ccc(cc1)Sc2ccc(cc2)O,C(=O)CCCCCCCC(=O)Oc1ccc(cc1)Sc2ccc(cc2)O,,,,1:01,"{[][<]C(=O)CCCCCCCC(=O)[<],[>]Oc1ccc(cc 1)Sc2ccc(cc2)O[>][]}",M32
138,138,no,solid,yes,Azelaoyl chloride,[Cl]C(=O)CCCCCCCC(=O)[Cl],"1,4-dithiane-2,5- diol",OC(CS1)SCC1O,C(=O)CCCCCCCC(=O)OC(CS1)SCC1O,,,,1:01,"{[][<]C(=O)CCCCCCCC(=O)[<],[>]OC(CS1)S CC1O[>][]}",M32
139,139,no,solid,no,Azelaoyl chloride,[Cl]C(=O)CCCCCCCC(=O)[Cl],"cis-2-Butene-1,4- diol",OC/C=C\CO,C(=O)CCCCCCCC(=O)OC/C=C/CO,,,,1:01,"{[][<]C(=O)CCCCCCCC(=O)[<],[>]OC/C=C/C O[>][]}",M32
140,140,yes,crystalline,no,Azelaoyl chloride,[Cl]C(=O)CCCCCCCC(=O)[Cl],Resorcinol,Oc1cccc(c1)O,C(=O)CCCCCCCC(=O)Oc1cccc(c1)O,1.15,1.65,1.43,1:01,"{[][<]C(=O)CCCCCCCC(=O)[<],[>]Oc1cccc(c 1)O[>][]}",M32
141,141,no,solid,no,Azelaoyl chloride,[Cl]C(=O)CCCCCCCC(=O)[Cl],"Naphthalene-1,5- diol",Oc1c(ccc2)c(ccc1)c2O,C(=O)CCCCCCCC(=O)Oc1c(ccc2)c(ccc1)c2O,,,,1:01,"{[][<]C(=O)CCCCCCCC(=O)[<],[>]Oc1c(ccc2
)c(ccc1)c2O[>][]}",M32
142,142,no,solid,no,Azelaoyl chloride,[Cl]C(=O)CCCCCCCC(=O)[Cl],"2,7-
Naphthalenediol",Oc1cc2c(cc1)ccc(c2)O,C(=O)CCCCCCCC(=O)Oc1cc2c(cc1)ccc(c2)O,,,,1:01,"{[][<]C(=O)CCCCCCCC(=O)[<],[>]Oc1cc2c(c c1)ccc(c2)O[>][]}",M32
143,143,no,solid,no,Azelaoyl chloride,[Cl]C(=O)CCCCCCCC(=O)[Cl],"2-Butyne-1,4-diol",OCC#CCO,C(=O)CCCCCCCC(=O)OCC#CCO,2.37,3.56,1.5,1:01,"{[][<]C(=O)CCCCCCCC(=O)[<],[>]OCC#CC O[>][]}",M32
144,144,yes,fluid,no,Azelaoyl chloride,[Cl]C(=O)CCCCCCCC(=O)[Cl],Guaiacol glyceryl ether,OCC(COC(CCCC1)C1OC)O,C(=O)CCCCCCCC(=O)OCC(COC(CCCC1)C1OC)O,1.67,2.35,1.41,1:01,"{[][<]C(=O)CCCCCCCC(=O)[<],[>]OCC(COC (CCCC1)C1OC)O[>][]}",M32
145,145,no,solid,no,Azelaoyl chloride,[Cl]C(=O)CCCCCCCC(=O)[Cl],Bis(4-hydroxyphenyl) Sulfone,Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O,C(=O)CCCCCCCC(=O)Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O,,,,1:01,"{[][<]C(=O)CCCCCCCC(=O)[<],[>]Oc1ccc(cc
1)S(=O)(=O)c2ccc(cc2)O[>][]}",M32
146,146,yes,crystalline,no,Azelaoyl chloride,[Cl]C(=O)CCCCCCCC(=O)[Cl],"Biphenyl-2,2_-diol",Oc(cccc1)c1c2c(cccc2)O,"C(=O)CCCCCCCC(=O)Oc(cccc1)c1c2c(cccc2)O
c1c2c(cccc2)O",4.27,6.08,3.04,1:01,"{[][<]C(=O)CCCCCCCC(=O)[<],[>]Oc(cccc1)
c1c2c(cccc2)O[>][]}",M32
147,147,yes,fluid,no,Azelaoyl chloride,[Cl]C(=O)CCCCCCCC(=O)[Cl],"1,3-Bis[2-(4-
hydroxyphenyl)- 2-propyl]benzene",Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O,"C(=O)CCCCCCCC(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O
",1.52,2.53,1.67,1:01,"{[][<]C(=O)CCCCCCCC(=O)[<],[>]Oc1ccc(cc
1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O[>][]
}",M32
148,148,yes,glassy,no,Azelaoyl chloride,[Cl]C(=O)CCCCCCCC(=O)[Cl],"4,4_-(alpha- Methylbenzylidene)bisphenol",Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O,C(=O)CCCCCCCC(=O)Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O,1.77,2.16,1.22,1:01,"{[][<]C(=O)CCCCCCCC(=O)[<],[>]Oc1ccc(cc
1)C(C)(c2ccccc2)c3ccc(cc3)O[>][]}",M32
149,149,yes,glassy,no,Azelaoyl chloride,[Cl]C(=O)CCCCCCCC(=O)[Cl],"4,4_-Isopropylidenebis (2,6-dimethylphenol)",Oc1c(C)cc(cc1(C))C(C)(C)c2cc(C)c(c(C)c2)O,C(=O)CCCCCCCC(=O)Oc1c(C)cc(cc1(C))C(C)(C)c2cc(C)c(c(C)c2)O,2.02,2.35,1.17,1:01,"{[][<]C(=O)CCCCCCCC(=O)[<],[>]Oc1c(C)cc
(cc1(C))C(C)(C)c2cc(C)c(c(C)c2)O[>][]}",M32
150,150,yes,glassy,yes,Azelaoyl chloride,[Cl]C(=O)CCCCCCCC(=O)[Cl],"4,4_-(9-Fluorenylidene)diphenol",C1(c4ccc(O)cc4)(c5ccc(O)cc5)c2ccccc2c3ccccc31,C1(c4ccc(OC(=O)CCCCCCCC(=O))cc4)(c5ccc(O)cc5)c2ccccc2c3ccccc31,1.36,1.5,1.1,1:01,"{[][<]C(=O)CCCCCCCC(=O)[<],[>]Oc1ccc(cc
1)C2(c3ccccc3c4c2ccccc4)c5ccc(cc5)O[>][]}",M32
151,151,yes,glassy,no,Azelaoyl chloride,[Cl]C(=O)CCCCCCCC(=O)[Cl],"(R)-(+)-1,1_-
Binaphthyl-2,2_- diol",Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O,C(=O)CCCCCCCC(=O)Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O,0.56,0.79,1.41,1:01,"{[][<]C(=O)CCCCCCCC(=O)[<],[>]Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O[>][]}",M32
152,152,yes,glassy,no,Suberoyl chloride,[Cl]C(=O)CCCCCCC(=O)[Cl],Bisphenol A,Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,C(=O)CCCCCCC(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,,,,1:01,"{[][<]C(=O)CCCCCCC(=O)[<],[>]Oc1ccc(cc1) C(C)(C)c2ccc(cc2)O[>][]}",M32
153,153,no,solid,yes,Suberoyl chloride,[Cl]C(=O)CCCCCCC(=O)[Cl],"4,4'-
Dihydroxydiphenylmethane",Oc1ccc(cc1)Cc2ccc(cc2)O,C(=O)CCCCCCC(=O)Oc1ccc(cc1)Cc2ccc(cc2)O,,,,1:01,"{[][<]C(=O)CCCCCCC(=O)[<],[>]Oc1ccc(cc1)
Cc2ccc(cc2)O[>][]}",M32
154,154,no,solid,yes,Suberoyl chloride,[Cl]C(=O)CCCCCCC(=O)[Cl],"4,4_-Thiodiphenol",Oc1ccc(cc1)Sc2ccc(cc2)O,C(=O)CCCCCCC(=O)Oc1ccc(cc1)Sc2ccc(cc2)O,,,,1:01,"{[][<]C(=O)CCCCCCC(=O)[<],[>]Oc1ccc(cc1)
Sc2ccc(cc2)O[>][]}",M32
155,155,no,solid,yes,Malonyl Chloride,[Cl]C(=O)CC(=O)[Cl],"1,4-dithiane-2,5- diol",OC(CS1)SCC1O,"C(=O)CC(=O)OC(CS1)SCC1O
",,,,1:01,"{[][<]C(=O)CC(=O)[<],[>]OC(CS1)SCC1O[>][]
}",M32
156,156,no,solid,yes,Suberoyl chloride,[Cl]C(=O)CCCCCCC(=O)[Cl],"1,4-dithiane-2,5- diol",OC(CS1)SCC1O,C(=O)CCCCCCC(=O)OC(CS1)SCC1O,,,,1:01,"{[][<]C(=O)CCCCCCC(=O)[<],[>]OC(CS1)SC C1O[>][]}",M32
157,157,yes,fluid,no,Suberoyl chloride,[Cl]C(=O)CCCCCCC(=O)[Cl],Resorcinol,Oc1cccc(c1)O,C(=O)CCCCCCC(=O)Oc1cccc(c1)O,1.34,2.45,1.83,1:01,"{[][<]C(=O)CCCCCCC(=O)[<],[>]Oc1cccc(c1) O[>][]}",M32
158,158,no,solid,no,Suberoyl chloride,[Cl]C(=O)CCCCCCC(=O)[Cl],"Naphthalene-1,5- diol",Oc1c(ccc2)c(ccc1)c2O,C(=O)CCCCCCC(=O)Oc1c(ccc2)c(ccc1)c2O,,,,1:01,"{[][<]C(=O)CCCCCCC(=O)[<],[>]Oc1c(ccc2)c (ccc1)c2O[>][]}",M32
159,159,no,solid,no,Suberoyl chloride,[Cl]C(=O)CCCCCCC(=O)[Cl],"2,7-
Naphthalenediol",Oc1cc2c(cc1)ccc(c2)O,C(=O)CCCCCCC(=O)Oc1cc2c(cc1)ccc(c2)O,,,,1:01,"{[][<]C(=O)CCCCCCC(=O)[<],[>]Oc1cc2c(cc 1)ccc(c2)O[>][]}",M32
160,160,no,solid,no,Dimethylmalonyl chloride,[Cl]C(=O)C(C)(C)C(=O)[Cl],Bisphenol A,Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,C(=O)C(C)(C)C(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,,,,1:01,"{[][<]C(=O)C(C)(C)C(=O)[<],[>]Oc1ccc(cc1)C (C)(C)c2ccc(cc2)O[>][]}",M32
161,161,yes,crystalline,no,Dimethylmalonyl chloride,[Cl]C(=O)C(C)(C)C(=O)[Cl],"Biphenyl-2,2_-diol",Oc(cccc1)c1c2c(cccc2)O,C(=O)C(C)(C)C(=O)Oc(cccc1)c1c2c(cccc2)O,,,,1:01,"{[][<]C(=O)C(C)(C)C(=O)[<],[>]Oc(cccc1)c1c
2c(cccc2)O[>][]}",M32
162,162,no,solid,no,Dimethylmalonyl chloride,[Cl]C(=O)C(C)(C)C(=O)[Cl],"4,4_-Thiodiphenol",Oc1ccc(cc1)Sc2ccc(cc2)O,C(=O)C(C)(C)C(=O)Oc1ccc(cc1)Sc2ccc(cc2)O,,,,1:01,"{[][<]C(=O)C(C)(C)C(=O)[<],[>]Oc1ccc(cc1)S
c2ccc(cc2)O[>][]}",M32
163,163,no,solid,no,Dimethylmalonyl chloride,[Cl]C(=O)C(C)(C)C(=O)[Cl],"cis-2-Butene-1,4- diol",OC/C=C\CO,"C(=O)C(C)(C)C(=O)OC/C=C/CO
",,,,1:01,"{[][<]C(=O)C(C)(C)C(=O)[<],[>]OC/C=C/CO[>
][]}",M32
164,164,no,solid,no,Dimethylmalonyl chloride,[Cl]C(=O)C(C)(C)C(=O)[Cl],"Naphthalene-1,5- diol",Oc1c(ccc2)c(ccc1)c2O,C(=O)C(C)(C)C(=O)Oc1c(ccc2)c(ccc1)c2O,,,,1:01,"{[][<]C(=O)C(C)(C)C(=O)[<],[>]Oc1c(ccc2)c(c cc1)c2O[>][]}",M32
165,165,no,solid,yes,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"Biphenyl-2,2_-diol",Oc(cccc1)c1c2c(cccc2)O,C(=O)c1ccc(cc1)C(=O)Oc(cccc1)c1c2c(cccc2)O,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]Oc(cccc1)c
1c2c(cccc2)O[>][]}",M32
166,166,no,solid,yes,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"1,3-Propanediol",OCCCO,"C(=O)c1ccc(cc1)C(=O)OCCCO
",,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]OCCCO[>][
]}",M32
167,167,no,solid,yes,Terephthaloyl Chloride,[Cl]C(=O)c1ccc(cc1)C(=O)[Cl],"1,5-pentanediol",OCCCCCO,C(=O)c1ccc(cc1)C(=O)OCCCCCO,,,,1:01,"{[][<]C(=O)c1ccc(cc1)C(=O)[<],[>]OCCCCCO [>][]}",M32
168,168,yes,glassy,yes,Dimethylcarbonate,COC(=O)OC,"1,3-Bis[2-(4-
hydroxyphenyl)- 2-propyl]benzene",Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O,C(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O,,,,1:01,"{[][<]C(=O)[<],[>]Oc1ccc(cc1)C(C)(C)c2ccc(c c2)C(C)(C)c3ccc(cc3)O[>][]}",M27
169,169,no,fluid,yes,Dimethylcarbonate,COC(=O)OC,"cis-2-Butene-1,4- diol",OC/C=C\CO,C(=O)OC/C=C/CO,,,,1:01,"{[][<]C(=O)[<],[>]OC/C=C/CO[>][]}",M27
170,,,,,Dimethylcarbonate,COC(=O)OC,"1,3-Propanediol",OCCCO,C(=O)OCCCO,,,,1:01,"{[][<]C(=O)[<],[>]OCCCO[>][]}",M27
171,171,yes,glassy,no,Dimethylcarbonate,COC(=O)OC,"1,5-pentanediol",OCCCCCO,C(=O)OCCCCCO,10.49,14.15,1.35,1:01,"{[][<]C(=O)[<],[>]OCCCCCO[>][]}",M27
172,172,yes,crystalline,yes,Dimethylcarbonate,COC(=O)OC,"1,8-octanediol",OCCCCCCCCO,C(=O)OCCCCCCCCO,1.65,2.87,1.74,1:01,"{[][<]C(=O)[<],[>]OCCCCCCCCO[>][]}",M28
173,173,yes,crystalline,yes,Dimethylcarbonate,COC(=O)OC,"1,9-nonanediol",OCCCCCCCCCO,C(=O)OCCCCCCCCCO,1.92,3.19,1.66,1:01,"{[][<]C(=O)[<],[>]OCCCCCCCCCO[>][]}",M27
174,174,yes,crystalline,yes,Dimethylcarbonate,COC(=O)OC,"1,10-decanediol",OCCCCCCCCCCO,C(=O)OCCCCCCCCCCO,1.82,2.92,1.61,1:01,"{[][<]C(=O)[<],[>]OCCCCCCCCCCO[>][]}",M27
175,175,no,solid,yes,Dimethylcarbonate,COC(=O)OC,"4,4_-(alpha- Methylbenzylidene)bisphenol",Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O,COC(=O)Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O,2.16,2.19,1.01,1:01,"{[][<]C(=O)[<],[>]Oc1ccc(cc1)C(C)(c2ccccc2)
c3ccc(cc3)O[>][]}",M28
176,176,yes,glassy,yes,Dimethylcarbonate,COC(=O)OC,"2,2-diethyl-1,3- propanediol",OCC(CC)(CC)CO,C(=O)OCC(CC)(CC)CO,1.13,1.83,1.61,1:01,"{[][<]C(=O)[<],[>]OCC(CC)(CC)CO[>][]}",M27
177,177,yes,crystalline,yes,Dimethylcarbonate,COC(=O)OC,"2,2-Dimethyl-1,3- propanediol",OCC(C)(C)CO,C(=O)OCC(C)(C)CO,3.31,6.3,1.9,1:01,"{[][<]C(=O)[<],[>]OCC(C)(C)CO[>][]}",M28
178,178,yes,glassy,yes,Dimethylcarbonate,COC(=O)OC,"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.0 2,6]decane",OCC(CC(C1)C2C3)C1C2CC3CO,C(=O)OCC(CC(C1)C2C3)C1C2CC3CO,,,,1:01,"{[][<]C(=O)[<],[>]OCC(CC(C1)C2C3)C1C2C C3CO[>][]}",M28
179,179,yes,glassy,yes,Dimethylcarbonate,COC(=O)OC,"1,4-Cyclohexanediol",OC(CC1)CCC1O,C(=O)OC(CC1)CCC1O,,,,1:01,"{[][<]C(=O)[<],[>]OC(CC1)CCC1O[>][]}",M27
180,180,yes,fluid,no,Dimethylcarbonate,COC(=O)OC,diethylene glycol,OCCOCCO,C(=O)OCCOCCO,,,,1:01,"{[][<]C(=O)[<],[>]OCCOCCO[>][]}",M28
181,181,no,solid,yes,Dimethylcarbonate,COC(=O)OC,"4,4_-Sulfonylbis(2-methylphenol)",Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O,C(=O)Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O,,,,1:01,"{[][<]C(=O)[<],[>]Oc1c(C)cc(cc1)S(=O)(=O)c2 ccc(c(C)c2)O[>][]}",M29
182,182,yes,fluid,yes,Dimethylcarbonate,COC(=O)OC,2-Hydroxyethyl disulfide,OCCSSCCO,C(=O)OCCSSCCO,,,,1:01,"{[][<]C(=O)[<],[>]OCCSSCCO[>][]}",M29
183,183,yes,crystalline,yes,Dimethylcarbonate,COC(=O)OC,"4,4_- Isopropylidenedicyclohexanol, mixture of isomers",OC(CC1)CCC1C(C)(C)C(CC2)CCC2O,C(=O)OC(CC1)CCC1C(C)(C)C(CC2)CCC2O,,,,1:01,"{[][<]C(=O)[<],[>]OC(CC1)CCC1C(C)(C)C(C C2)CCC2O[>][]}",M27
184,184,yes,fluid,yes,Dimethylcarbonate,COC(=O)OC,dipropylene glycol,OCC(C)OCC(C)O,C(=O)OCC(C)OCC(C)O,4.52,5.04,1.12,1:01,"{[][<]C(=O)[<],[>]OCC(C)OCC(C)O[>][]}",M27
185,185,no,solid,no,Dimethylcarbonate,COC(=O)OC,"Naphthalene-1,5- diol",Oc1c(ccc2)c(ccc1)c2O,C(=O)Oc1c(ccc2)c(ccc1)c2O,,,,1:01,"{[][<]C(=O)[<],[>]Oc1c(ccc2)c(ccc1)c2O[>][]}",M27
186,186,no,solid,no,Dimethylcarbonate,COC(=O)OC,"2,7-
Naphthalenediol",Oc1cc2c(cc1)ccc(c2)O,C(=O)Oc1cc2c(cc1)ccc(c2)O,,,,1:01,"{[][<]C(=O)[<],[>]Oc1cc2c(cc1)ccc(c2)O[>][]}",M27
187,187,yes,fluid,no,Dimethylcarbonate,COC(=O)OC,"2-Butyne-1,4-diol",OCC#CCO,C(=O)OCC#CCO,,,,1:01,"{[][<]C(=O)[<],[>]OCC#CCO[>][]}",M27
188,188,no,solid,yes,Dimethylcarbonate,COC(=O)OC,Bisphenol A,Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,C(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,,,,1:01,"{[][<]C(=O)[<],[>]Oc1ccc(cc1)C(C)(C)c2ccc(c c2)O[>][]}",M29
189,189,no,solid,yes,Dimethylcarbonate,COC(=O)OC,"4,4'-
Dihydroxydiphenylmethane",Oc1ccc(cc1)Cc2ccc(cc2)O,"C(=O)Oc1ccc(cc1)Cc2ccc(cc2)O
",,,,1:01,"{[][<]C(=O)[<],[>]Oc1ccc(cc1)Cc2ccc(cc2)O[>
][]}",M29
191,191,no,solid,yes,Dimethylcarbonate,COC(=O)OC,"4,4_-(9-Fluorenylidene)diphenol",C1(c4ccc(O)cc4)(c5ccc(O)cc5)c2ccccc2c3ccccc31,C1(c4ccc(O)cc4)(c5ccc(OC(=O)OC)cc5)c2ccccc2c3ccccc31,2.14,2.16,1.01,1:01,"{[][<]C(=O)[<],[>]Oc1ccc(cc1)C2(c3ccccc3c4 c2ccccc4)c5ccc(cc5)O[>][]}",M27
192,192,yes,crystalline,no,Dimethylcarbonate,COC(=O)OC,"1,4-Butanediol",OCCCCO,C(=O)OCCCCO,1.67,2.76,1.66,1:01,"{[][<]C(=O)[<],[>]OCCCCO[>][]}",M29
193,193,yes,crystalline,no,Dimethylcarbonate,COC(=O)OC,"1,6-Hexanediol",OCCCCCCO,C(=O)OCCCCCCO,3.68,7.7,2.09,1:01,"{[][<]C(=O)[<],[>]OCCCCCCO[>][]}",M29
194,194,yes,fluid,yes,Dimethylcarbonate,COC(=O)OC,"2-Methyl-1,3- propanediol",OCC(C)CO,C(=O)OCC(C)CO,2,3.04,1.52,1:01,"{[][<]C(=O)[<],[>]OCC(C)CO[>][]}",M29
195,195,yes,fluid,yes,Dimethylcarbonate,COC(=O)OC,"2-Butyl-2-ethyl- 1,3-propanediol",OCC(CC)(CCCC)CO,C(=O)OCC(CC)(CCCC)CO,2.28,3.54,1.55,1:01,"{[][<]C(=O)[<],[>]OCC(CC)(CCCC)CO[>][]}",M29
196,196,no,solid,yes,Dimethylcarbonate,COC(=O)OC,"1,5-hexadiene- 3,5-diol",OC(C=C)C(C=C)O,C(=O)OC(C=C)C(C=C)O,,,,1:01,"{[][<]C(=O)[<],[>]OC(C=C)C(C=C)O[>][]}",M30
197,197,no,solid,no,Dimethylcarbonate,COC(=O)OC,"4,4' - Cycloehexylidenebisphenol","Oc1ccc(C2(c3ccc(O)cc3)CCCCC2)cc1

",Oc1ccc(C2(c3ccc(OC(=O)OC)cc3)CCCCC2)cc1,1.84,1.88,1.02,1:01,"{[][<]C(=O)[<],[>]Oc1ccc(cc1)C2(CCCCC2)c3 cc(cc3)O[>][]}",M27
198,198,yes,crystalline,no,Dimethylcarbonate,COC(=O)OC,"(R)-(+)-1,1_-
Binaphthyl-2,2_- diol",Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O,C(=O)Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O,,,,1:01,"{[][<]C(=O)[<],[>]Oc1ccc(cccc2)c2c1c3c(cccc 4)c4ccc3O[>][]}",M28
199,199,no,solid,yes,Dimethylcarbonate,COC(=O)OC,"4,4_-Thiodiphenol",Oc1ccc(cc1)Sc2ccc(cc2)O,"C(=O)Oc1ccc(cc1)Sc2ccc(cc2)O
",2.55,2.56,1.01,1:01,"{[][<]C(=O)[<],[>]Oc1ccc(cc1)Sc2ccc(cc2)O[>
][]}",M27
200,200,yes,fluid,yes,Dimethylcarbonate,COC(=O)OC,Guaiacol glyceryl ether,OCC(COC(CCCC1)C1OC)O,C(=O)OCC(COC(CCCC1)C1OC)O,,,,1:01,"{[][<]C(=O)[<],[>]OCC(COC(CCCC1)C1OC) O[>][]}",M28
201,201,yes,fluid,no,Dimethylcarbonate,COC(=O)OC,"2,2_-
Thiodiethanol",OCCSCCO,C(=O)OCCSCCO,,,,1:01,"{[][<]C(=O)[<],[>]OCCSCCO[>][]}",M28
202,202,yes,fluid,no,Diglycolic acid,OC(=O)COCC(=O)O,ethylene glycol,OCCO,C(=O)COC(=O)OCCO,,,,1:01,"{[][<]C(=O)COC(=O)[<],[>]OCCO[>][]}",M25
203,203,yes,crystalline,no,Diglycolic acid,OC(=O)COCC(=O)O,"1,10-decanediol",OCCCCCCCCCCO,C(=O)COC(=O)OCCCCCCCCCCO,7.88,27.97,3.55,1:01,"{[][<]C(=O)COC(=O)[<],[>]OCCCCCCCCCC O[>][]}",M25
204,204,yes,fluid,no,Diglycolic acid,OC(=O)COCC(=O)O,"1,2-Propanediol",OCC(C)O,C(=O)COC(=O)OCC(C)O,6.5,11.68,1.8,1:01,"{[][<]C(=O)COC(=O)[<],[>]OCC(C)O[>][]}",M25
205,205,yes,glassy,no,Diglycolic acid,OC(=O)COCC(=O)O,"1,3-Propanediol",OCCCO,C(=O)COC(=O)OCCCO,14.56,19.47,1.34,1:01,"{[][<]C(=O)COC(=O)[<],[>]OCCCO[>][]}",M25
206,206,yes,crystalline,no,Diglycolic acid,OC(=O)COCC(=O)O,"1,4-Butanediol",OCCCCO,C(=O)COC(=O)OCCCCO,,,,1:01,"{[][<]C(=O)COC(=O)[<],[>]OCCCCO[>][]}",M25
207,207,yes,crystalline,no,Diglycolic acid,OC(=O)COCC(=O)O,"1,5-pentanediol",OCCCCCO,C(=O)COC(=O)OCCCCCO,5.19,10.2,1.97,1:01,"{[][<]C(=O)COC(=O)[<],[>]OCCCCCO[>][]}",M25
208,208,yes,glassy,no,Diglycolic acid,OC(=O)COCC(=O)O,"1,6-Hexanediol",OCCCCCCO,C(=O)COC(=O)OCCCCCCO,9.96,22.53,2.26,1:01,"{[][<]C(=O)COC(=O)[<],[>]OCCCCCCO[>][]}",M25
209,209,yes,fluid,no,Diglycolic acid,OC(=O)COCC(=O)O,"3-methyl-1,5- pentanediol",OCCC(C)CCO,"C(=O)COC(=O)OCCC(C)CCO
",7.92,21.51,2.72,1:01,"{[][<]C(=O)COC(=O)[<],[>]OCCC(C)CCO[>][]
}",M25
210,210,yes,glassy,no,Diglycolic acid,OC(=O)COCC(=O)O,"1,7-heptanediol",OCCCCCCCO,"C(=O)COC(=O)OCCCCCCCO
",10.24,28.59,2.79,1:01,"{[][<]C(=O)COC(=O)[<],[>]OCCCCCCCO[>][]
}",M25
211,211,yes,crystalline,no,Diglycolic acid,OC(=O)COCC(=O)O,"1,8-octanediol",OCCCCCCCCO,C(=O)COC(=O)OCCCCCCCCO,4.88,14.4,2.95,1:01,"{[][<]C(=O)COC(=O)[<],[>]OCCCCCCCCO[>] []}",M25
212,212,yes,crystalline,no,Diglycolic acid,OC(=O)COCC(=O)O,"1,9-nonanediol",OCCCCCCCCCO,"C(=O)COC(=O)OCCCCCCCCCO
",9.55,32.64,3.42,1:01,"{[][<]C(=O)COC(=O)[<],[>]OCCCCCCCCCO[
>][]}",M25
213,213,yes,fluid,no,"2,2' - thiodiacetic acid",OC(=O)CSCC(=O)O,"3-methyl-1,5- pentanediol",OCCC(C)CCO,C(=O)CSCC(=O)OCCC(C)CCO,8.67,27.38,3.16,1:01,"{[][<]C(=O)CSCC(=O)[<],[>]OCCC(C)CCO[>] []}",M25
214,214,yes,glassy,no,"2,2' - thiodiacetic acid",OC(=O)CSCC(=O)O,"1,10-decanediol",OCCCCCCCCCCO,C(=O)CSCC(=O)OCCCCCCCCCCO,5.36,16.7,3.12,1:01,"{[][<]C(=O)CSCC(=O)[<],[>]OCCCCCCCCC CO[>][]}",M25
215,215,yes,fluid,no,[(Carboxymethyl)(methyl)amino]acetic acid,OC(=O)CN(C)CC(=O)O,"1,4-Butanediol",OCCCCO,"C(=O)CN(C)CC(=O)OCCCCO
",5.31,10.99,2.07,1:01,"{[][<]C(=O)CN(C)CC(=O)[<],[>]OCCCCO[>][]
}",M25
216,216,yes,fluid,yes,[(Carboxymethyl)(methyl)amino]acetic acid,OC(=O)CN(C)CC(=O)O,"1,6-Hexanediol",OCCCCCCO,"C(=O)CN(C)CC(=O)OCCCCCCO
",4.5,8.75,1.95,1:01,"{[][<]C(=O)CN(C)CC(=O)[<],[>]OCCCCCCO[
>][]}",M25
